LINEID,ROUTEID,STOPPOINTID,DIRECTION,TRIPS_PLANNEDTIME_DEP,DAYOFWEEK
16D,16D_30,336,1,30600,1
16D,16D_30,1292,1,30600,1
16D,16D_30,2968,1,30600,1
16D,16D_30,2975,1,30600,1
16D,16D_30,1631,1,27000,1
16D,16D_30,1632,1,27000,1
16D,16D_30,5053,1,27000,1
16D,16D_30,1634,1,27000,1
16D,16D_30,1636,1,27000,1
16D,16D_30,1638,1,27000,1
16D,16D_30,1639,1,27000,1
16D,16D_30,1640,1,27000,1
16D,16D_30,231,1,27000,1
16D,16D_30,1642,1,27000,1
16D,16D_30,213,1,27000,1
16D,16D_30,214,1,27000,1
16D,16D_30,4432,1,27000,1
16D,16D_30,44,1,27000,1
16D,16D_30,7603,1,27000,1
16D,16D_30,46,1,27000,1
16D,16D_30,47,1,27000,1
16D,16D_30,48,1,27000,1
16D,16D_30,49,1,27000,1
16D,16D_30,51,1,27000,1
16D,16D_30,52,1,27000,1
16D,16D_30,262,1,27000,1
16D,16D_30,270,1,27000,1
16D,16D_30,336,1,27000,1
16D,16D_30,1279,1,27000,1
16D,16D_30,1284,1,27000,1
16D,16D_30,1287,1,27000,1
16D,16D_30,1288,1,27000,1
16D,16D_30,1290,1,27000,1
16D,16D_30,1291,1,27000,1
16D,16D_30,1292,1,27000,1
16D,16D_30,1293,1,27000,1
16D,16D_30,1294,1,27000,1
16D,16D_30,1295,1,27000,1
16D,16D_30,1296,1,27000,1
16D,16D_30,1297,1,27000,1
16D,16D_30,1298,1,27000,1
16D,16D_30,1299,1,27000,1
16D,16D_30,1300,1,27000,1
16D,16D_30,1301,1,27000,1
16D,16D_30,1302,1,27000,1
16D,16D_30,1303,1,27000,1
16D,16D_30,1305,1,27000,1
16D,16D_30,1321,1,27000,1
16D,16D_30,1322,1,27000,1
16D,16D_30,1323,1,27000,1
16D,16D_30,1324,1,27000,1
16D,16D_30,7068,1,27000,1
16D,16D_30,2966,1,27000,1
16D,16D_30,2967,1,27000,1
16D,16D_30,2968,1,27000,1
16D,16D_30,2970,1,27000,1
16D,16D_30,2971,1,27000,1
16D,16D_30,5051,1,27000,1
16D,16D_30,2975,1,27000,1
16D,16D_30,2969,1,27000,1
16D,16D_30,5052,1,27000,1
16D,16D_30,3669,1,27000,1
16D,16D_30,1633,1,27000,1
16D,16D_30,119,1,27000,1
16D,16D_30,45,1,27000,1
16D,16D_30,1282,1,27000,1
16D,16D_30,1304,1,27000,1
16D,16D_30,1637,1,27000,1
16D,16D_30,1641,1,27000,1
16D,16D_30,4456,1,27000,1
16D,16D_30,1285,1,27000,1
16D,16D_30,1289,1,27000,1
16D,16D_30,1320,1,27000,1
16D,16D_30,7347,1,27000,1
16D,16D_30,7349,1,27000,1
16D,16D_30,1635,1,27000,1
16D,16D_30,7347,1,30600,2
16D,16D_30,3669,1,30600,2
16D,16D_30,7349,1,30600,2
16D,16D_30,1632,1,30600,2
16D,16D_30,5053,1,30600,2
16D,16D_30,1633,1,30600,2
16D,16D_30,1634,1,30600,2
16D,16D_30,1636,1,30600,2
16D,16D_30,1638,1,30600,2
16D,16D_30,1640,1,30600,2
16D,16D_30,231,1,30600,2
16D,16D_30,1641,1,30600,2
16D,16D_30,1642,1,30600,2
16D,16D_30,214,1,30600,2
16D,16D_30,4432,1,30600,2
16D,16D_30,119,1,30600,2
16D,16D_30,44,1,30600,2
16D,16D_30,45,1,30600,2
16D,16D_30,47,1,30600,2
16D,16D_30,49,1,30600,2
16D,16D_30,51,1,30600,2
16D,16D_30,52,1,30600,2
16D,16D_30,270,1,30600,2
16D,16D_30,336,1,30600,2
16D,16D_30,1279,1,30600,2
16D,16D_30,4456,1,30600,2
16D,16D_30,1284,1,30600,2
16D,16D_30,1285,1,30600,2
16D,16D_30,1287,1,30600,2
16D,16D_30,1289,1,30600,2
16D,16D_30,1290,1,30600,2
16D,16D_30,1291,1,30600,2
16D,16D_30,1292,1,30600,2
16D,16D_30,1294,1,30600,2
16D,16D_30,1296,1,30600,2
16D,16D_30,1297,1,30600,2
16D,16D_30,1299,1,30600,2
16D,16D_30,1300,1,30600,2
16D,16D_30,1301,1,30600,2
16D,16D_30,1302,1,30600,2
16D,16D_30,1304,1,30600,2
16D,16D_30,1305,1,30600,2
16D,16D_30,1320,1,30600,2
16D,16D_30,1322,1,30600,2
16D,16D_30,1324,1,30600,2
16D,16D_30,7068,1,30600,2
16D,16D_30,2966,1,30600,2
16D,16D_30,2967,1,30600,2
16D,16D_30,2969,1,30600,2
16D,16D_30,2970,1,30600,2
16D,16D_30,2971,1,30600,2
16D,16D_30,5052,1,30600,2
16D,16D_30,1631,1,30600,2
16D,16D_30,1635,1,30600,2
16D,16D_30,1639,1,30600,2
16D,16D_30,213,1,30600,2
16D,16D_30,7603,1,30600,2
16D,16D_30,48,1,30600,2
16D,16D_30,262,1,30600,2
16D,16D_30,1282,1,30600,2
16D,16D_30,1288,1,30600,2
16D,16D_30,1293,1,30600,2
16D,16D_30,1298,1,30600,2
16D,16D_30,1303,1,30600,2
16D,16D_30,1321,1,30600,2
16D,16D_30,1323,1,30600,2
16D,16D_30,2968,1,30600,2
16D,16D_30,5051,1,30600,2
16D,16D_30,46,1,30600,2
16D,16D_30,1295,1,30600,2
16D,16D_30,2975,1,30600,2
16D,16D_30,1637,1,30600,2
16D,16D_30,7347,1,31800,2
16D,16D_30,3669,1,31800,2
16D,16D_30,1631,1,31800,2
16D,16D_30,1632,1,31800,2
16D,16D_30,5053,1,31800,2
16D,16D_30,1634,1,31800,2
16D,16D_30,1636,1,31800,2
16D,16D_30,1637,1,31800,2
16D,16D_30,1638,1,31800,2
16D,16D_30,1640,1,31800,2
16D,16D_30,1641,1,31800,2
16D,16D_30,1642,1,31800,2
16D,16D_30,213,1,31800,2
16D,16D_30,214,1,31800,2
16D,16D_30,119,1,31800,2
16D,16D_30,44,1,31800,2
16D,16D_30,7603,1,31800,2
16D,16D_30,46,1,31800,2
16D,16D_30,47,1,31800,2
16D,16D_30,48,1,31800,2
16D,16D_30,49,1,31800,2
16D,16D_30,51,1,31800,2
16D,16D_30,262,1,31800,2
16D,16D_30,270,1,31800,2
16D,16D_30,336,1,31800,2
16D,16D_30,1282,1,31800,2
16D,16D_30,4456,1,31800,2
16D,16D_30,1284,1,31800,2
16D,16D_30,1285,1,31800,2
16D,16D_30,1288,1,31800,2
16D,16D_30,1289,1,31800,2
16D,16D_30,1290,1,31800,2
16D,16D_30,1291,1,31800,2
16D,16D_30,1292,1,31800,2
16D,16D_30,1293,1,31800,2
16D,16D_30,1294,1,31800,2
16D,16D_30,1296,1,31800,2
16D,16D_30,1297,1,31800,2
16D,16D_30,1298,1,31800,2
16D,16D_30,1299,1,31800,2
16D,16D_30,1301,1,31800,2
16D,16D_30,1302,1,31800,2
16D,16D_30,1303,1,31800,2
16D,16D_30,1305,1,31800,2
16D,16D_30,1320,1,31800,2
16D,16D_30,1321,1,31800,2
16D,16D_30,1322,1,31800,2
16D,16D_30,1324,1,31800,2
16D,16D_30,2966,1,31800,2
16D,16D_30,2967,1,31800,2
16D,16D_30,2968,1,31800,2
16D,16D_30,2969,1,31800,2
16D,16D_30,2971,1,31800,2
16D,16D_30,5051,1,31800,2
16D,16D_30,5052,1,31800,2
16D,16D_30,7349,1,31800,2
16D,16D_30,1633,1,31800,2
16D,16D_30,231,1,31800,2
16D,16D_30,4432,1,31800,2
16D,16D_30,45,1,31800,2
16D,16D_30,52,1,31800,2
16D,16D_30,1279,1,31800,2
16D,16D_30,1287,1,31800,2
16D,16D_30,1295,1,31800,2
16D,16D_30,1300,1,31800,2
16D,16D_30,1304,1,31800,2
16D,16D_30,7068,1,31800,2
16D,16D_30,2970,1,31800,2
16D,16D_30,2975,1,31800,2
16D,16D_30,1639,1,31800,2
16D,16D_30,1323,1,31800,2
16D,16D_30,1635,1,31800,2
16D,16D_30,7347,1,25800,2
16D,16D_30,3669,1,25800,2
16D,16D_30,7349,1,25800,2
16D,16D_30,1631,1,25800,2
16D,16D_30,5053,1,25800,2
16D,16D_30,1634,1,25800,2
16D,16D_30,1635,1,25800,2
16D,16D_30,1636,1,25800,2
16D,16D_30,1637,1,25800,2
16D,16D_30,1638,1,25800,2
16D,16D_30,1639,1,25800,2
16D,16D_30,1640,1,25800,2
16D,16D_30,231,1,25800,2
16D,16D_30,1641,1,25800,2
16D,16D_30,1642,1,25800,2
16D,16D_30,213,1,25800,2
16D,16D_30,214,1,25800,2
16D,16D_30,4432,1,25800,2
16D,16D_30,119,1,25800,2
16D,16D_30,44,1,25800,2
16D,16D_30,7603,1,25800,2
16D,16D_30,45,1,25800,2
16D,16D_30,46,1,25800,2
16D,16D_30,47,1,25800,2
16D,16D_30,49,1,25800,2
16D,16D_30,51,1,25800,2
16D,16D_30,52,1,25800,2
16D,16D_30,262,1,25800,2
16D,16D_30,270,1,25800,2
16D,16D_30,336,1,25800,2
16D,16D_30,1279,1,25800,2
16D,16D_30,1282,1,25800,2
16D,16D_30,4456,1,25800,2
16D,16D_30,1284,1,25800,2
16D,16D_30,1285,1,25800,2
16D,16D_30,1288,1,25800,2
16D,16D_30,1289,1,25800,2
16D,16D_30,1290,1,25800,2
16D,16D_30,1291,1,25800,2
16D,16D_30,1292,1,25800,2
16D,16D_30,1294,1,25800,2
16D,16D_30,1295,1,25800,2
16D,16D_30,1296,1,25800,2
16D,16D_30,1297,1,25800,2
16D,16D_30,1298,1,25800,2
16D,16D_30,1299,1,25800,2
16D,16D_30,1300,1,25800,2
16D,16D_30,1301,1,25800,2
16D,16D_30,1303,1,25800,2
16D,16D_30,1305,1,25800,2
16D,16D_30,1320,1,25800,2
16D,16D_30,1321,1,25800,2
16D,16D_30,1322,1,25800,2
16D,16D_30,1323,1,25800,2
16D,16D_30,1324,1,25800,2
16D,16D_30,7068,1,25800,2
16D,16D_30,2966,1,25800,2
16D,16D_30,2967,1,25800,2
16D,16D_30,2968,1,25800,2
16D,16D_30,2969,1,25800,2
16D,16D_30,2971,1,25800,2
16D,16D_30,5052,1,25800,2
16D,16D_30,2975,1,25800,2
16D,16D_30,48,1,25800,2
16D,16D_30,1293,1,25800,2
16D,16D_30,1302,1,25800,2
16D,16D_30,1304,1,25800,2
16D,16D_30,2970,1,25800,2
16D,16D_30,5051,1,25800,2
16D,16D_30,1632,1,25800,2
16D,16D_30,1633,1,25800,2
16D,16D_30,7347,1,28200,2
16D,16D_30,3669,1,28200,2
16D,16D_30,7349,1,28200,2
16D,16D_30,1631,1,28200,2
16D,16D_30,1632,1,28200,2
16D,16D_30,5053,1,28200,2
16D,16D_30,1633,1,28200,2
16D,16D_30,1634,1,28200,2
16D,16D_30,1635,1,28200,2
16D,16D_30,1636,1,28200,2
16D,16D_30,1637,1,28200,2
16D,16D_30,1638,1,28200,2
16D,16D_30,1639,1,28200,2
16D,16D_30,231,1,28200,2
16D,16D_30,1642,1,28200,2
16D,16D_30,214,1,28200,2
16D,16D_30,4432,1,28200,2
16D,16D_30,119,1,28200,2
16D,16D_30,7603,1,28200,2
16D,16D_30,45,1,28200,2
16D,16D_30,46,1,28200,2
16D,16D_30,47,1,28200,2
16D,16D_30,48,1,28200,2
16D,16D_30,49,1,28200,2
16D,16D_30,51,1,28200,2
16D,16D_30,52,1,28200,2
16D,16D_30,270,1,28200,2
16D,16D_30,1279,1,28200,2
16D,16D_30,4456,1,28200,2
16D,16D_30,1284,1,28200,2
16D,16D_30,1285,1,28200,2
16D,16D_30,1288,1,28200,2
16D,16D_30,1290,1,28200,2
16D,16D_30,1291,1,28200,2
16D,16D_30,1292,1,28200,2
16D,16D_30,1293,1,28200,2
16D,16D_30,1294,1,28200,2
16D,16D_30,1295,1,28200,2
16D,16D_30,1296,1,28200,2
16D,16D_30,1297,1,28200,2
16D,16D_30,1298,1,28200,2
16D,16D_30,1299,1,28200,2
16D,16D_30,1300,1,28200,2
16D,16D_30,1301,1,28200,2
16D,16D_30,1302,1,28200,2
16D,16D_30,1303,1,28200,2
16D,16D_30,1304,1,28200,2
16D,16D_30,1320,1,28200,2
16D,16D_30,1322,1,28200,2
16D,16D_30,1323,1,28200,2
16D,16D_30,7068,1,28200,2
16D,16D_30,2967,1,28200,2
16D,16D_30,2968,1,28200,2
16D,16D_30,2969,1,28200,2
16D,16D_30,2970,1,28200,2
16D,16D_30,2971,1,28200,2
16D,16D_30,5051,1,28200,2
16D,16D_30,5052,1,28200,2
16D,16D_30,2975,1,28200,2
16D,16D_30,1640,1,28200,2
16D,16D_30,1641,1,28200,2
16D,16D_30,213,1,28200,2
16D,16D_30,44,1,28200,2
16D,16D_30,262,1,28200,2
16D,16D_30,336,1,28200,2
16D,16D_30,1282,1,28200,2
16D,16D_30,1287,1,28200,2
16D,16D_30,1289,1,28200,2
16D,16D_30,1305,1,28200,2
16D,16D_30,1321,1,28200,2
16D,16D_30,1324,1,28200,2
16D,16D_30,2966,1,28200,2
16D,16D_30,3669,1,29400,2
16D,16D_30,1631,1,29400,2
16D,16D_30,1632,1,29400,2
16D,16D_30,1633,1,29400,2
16D,16D_30,1634,1,29400,2
16D,16D_30,1635,1,29400,2
16D,16D_30,1637,1,29400,2
16D,16D_30,1639,1,29400,2
16D,16D_30,1640,1,29400,2
16D,16D_30,231,1,29400,2
16D,16D_30,1641,1,29400,2
16D,16D_30,213,1,29400,2
16D,16D_30,214,1,29400,2
16D,16D_30,4432,1,29400,2
16D,16D_30,44,1,29400,2
16D,16D_30,7603,1,29400,2
16D,16D_30,45,1,29400,2
16D,16D_30,46,1,29400,2
16D,16D_30,48,1,29400,2
16D,16D_30,51,1,29400,2
16D,16D_30,52,1,29400,2
16D,16D_30,262,1,29400,2
16D,16D_30,336,1,29400,2
16D,16D_30,1279,1,29400,2
16D,16D_30,1282,1,29400,2
16D,16D_30,4456,1,29400,2
16D,16D_30,1285,1,29400,2
16D,16D_30,1287,1,29400,2
16D,16D_30,1288,1,29400,2
16D,16D_30,1290,1,29400,2
16D,16D_30,1293,1,29400,2
16D,16D_30,1294,1,29400,2
16D,16D_30,1295,1,29400,2
16D,16D_30,1296,1,29400,2
16D,16D_30,1298,1,29400,2
16D,16D_30,1299,1,29400,2
16D,16D_30,1302,1,29400,2
16D,16D_30,1303,1,29400,2
16D,16D_30,1304,1,29400,2
16D,16D_30,1305,1,29400,2
16D,16D_30,1321,1,29400,2
16D,16D_30,1322,1,29400,2
16D,16D_30,1323,1,29400,2
16D,16D_30,1324,1,29400,2
16D,16D_30,7068,1,29400,2
16D,16D_30,2967,1,29400,2
16D,16D_30,2969,1,29400,2
16D,16D_30,2970,1,29400,2
16D,16D_30,5051,1,29400,2
16D,16D_30,5052,1,29400,2
16D,16D_30,2975,1,29400,2
16D,16D_30,7347,1,29400,2
16D,16D_30,5053,1,29400,2
16D,16D_30,1636,1,29400,2
16D,16D_30,1638,1,29400,2
16D,16D_30,1642,1,29400,2
16D,16D_30,119,1,29400,2
16D,16D_30,47,1,29400,2
16D,16D_30,49,1,29400,2
16D,16D_30,270,1,29400,2
16D,16D_30,1284,1,29400,2
16D,16D_30,1289,1,29400,2
16D,16D_30,1292,1,29400,2
16D,16D_30,1297,1,29400,2
16D,16D_30,1301,1,29400,2
16D,16D_30,1320,1,29400,2
16D,16D_30,2966,1,29400,2
16D,16D_30,2971,1,29400,2
16D,16D_30,1291,1,29400,2
16D,16D_30,1300,1,29400,2
16D,16D_30,2968,1,29400,2
16D,16D_30,7349,1,29400,2
16D,16D_30,3669,1,27000,2
16D,16D_30,7349,1,27000,2
16D,16D_30,1631,1,27000,2
16D,16D_30,1632,1,27000,2
16D,16D_30,5053,1,27000,2
16D,16D_30,1633,1,27000,2
16D,16D_30,1634,1,27000,2
16D,16D_30,1635,1,27000,2
16D,16D_30,1636,1,27000,2
16D,16D_30,1637,1,27000,2
16D,16D_30,1638,1,27000,2
16D,16D_30,1639,1,27000,2
16D,16D_30,1640,1,27000,2
16D,16D_30,231,1,27000,2
16D,16D_30,1641,1,27000,2
16D,16D_30,1642,1,27000,2
16D,16D_30,213,1,27000,2
16D,16D_30,214,1,27000,2
16D,16D_30,119,1,27000,2
16D,16D_30,44,1,27000,2
16D,16D_30,7603,1,27000,2
16D,16D_30,45,1,27000,2
16D,16D_30,46,1,27000,2
16D,16D_30,47,1,27000,2
16D,16D_30,48,1,27000,2
16D,16D_30,49,1,27000,2
16D,16D_30,52,1,27000,2
16D,16D_30,262,1,27000,2
16D,16D_30,270,1,27000,2
16D,16D_30,336,1,27000,2
16D,16D_30,1279,1,27000,2
16D,16D_30,1282,1,27000,2
16D,16D_30,4456,1,27000,2
16D,16D_30,1285,1,27000,2
16D,16D_30,1287,1,27000,2
16D,16D_30,1288,1,27000,2
16D,16D_30,1289,1,27000,2
16D,16D_30,1290,1,27000,2
16D,16D_30,1291,1,27000,2
16D,16D_30,1292,1,27000,2
16D,16D_30,1293,1,27000,2
16D,16D_30,1294,1,27000,2
16D,16D_30,1295,1,27000,2
16D,16D_30,1297,1,27000,2
16D,16D_30,1299,1,27000,2
16D,16D_30,1300,1,27000,2
16D,16D_30,1301,1,27000,2
16D,16D_30,1302,1,27000,2
16D,16D_30,1303,1,27000,2
16D,16D_30,1304,1,27000,2
16D,16D_30,1305,1,27000,2
16D,16D_30,1320,1,27000,2
16D,16D_30,1321,1,27000,2
16D,16D_30,1322,1,27000,2
16D,16D_30,1323,1,27000,2
16D,16D_30,1324,1,27000,2
16D,16D_30,7068,1,27000,2
16D,16D_30,2966,1,27000,2
16D,16D_30,2967,1,27000,2
16D,16D_30,2968,1,27000,2
16D,16D_30,2969,1,27000,2
16D,16D_30,2970,1,27000,2
16D,16D_30,2971,1,27000,2
16D,16D_30,5051,1,27000,2
16D,16D_30,5052,1,27000,2
16D,16D_30,2975,1,27000,2
16D,16D_30,4432,1,27000,2
16D,16D_30,51,1,27000,2
16D,16D_30,1284,1,27000,2
16D,16D_30,1296,1,27000,2
16D,16D_30,1298,1,27000,2
16D,16D_30,7347,1,27000,2
16D,16D_30,46,1,30600,3
16D,16D_30,47,1,30600,3
16D,16D_30,48,1,30600,3
16D,16D_30,51,1,30600,3
16D,16D_30,262,1,30600,3
16D,16D_30,270,1,30600,3
16D,16D_30,336,1,30600,3
16D,16D_30,1282,1,30600,3
16D,16D_30,1284,1,30600,3
16D,16D_30,1285,1,30600,3
16D,16D_30,1288,1,30600,3
16D,16D_30,1290,1,30600,3
16D,16D_30,1291,1,30600,3
16D,16D_30,1292,1,30600,3
16D,16D_30,1295,1,30600,3
16D,16D_30,1296,1,30600,3
16D,16D_30,1297,1,30600,3
16D,16D_30,1298,1,30600,3
16D,16D_30,1300,1,30600,3
16D,16D_30,1301,1,30600,3
16D,16D_30,1302,1,30600,3
16D,16D_30,1303,1,30600,3
16D,16D_30,1305,1,30600,3
16D,16D_30,1320,1,30600,3
16D,16D_30,1323,1,30600,3
16D,16D_30,1324,1,30600,3
16D,16D_30,7068,1,30600,3
16D,16D_30,2966,1,30600,3
16D,16D_30,2968,1,30600,3
16D,16D_30,2969,1,30600,3
16D,16D_30,2970,1,30600,3
16D,16D_30,2971,1,30600,3
16D,16D_30,5052,1,30600,3
16D,16D_30,2975,1,30600,3
16D,16D_30,1635,1,30600,3
16D,16D_30,1636,1,30600,3
16D,16D_30,1637,1,30600,3
16D,16D_30,1639,1,30600,3
16D,16D_30,231,1,30600,3
16D,16D_30,1642,1,30600,3
16D,16D_30,214,1,30600,3
16D,16D_30,7603,1,30600,3
16D,16D_30,3669,1,30600,3
16D,16D_30,7349,1,30600,3
16D,16D_30,1631,1,30600,3
16D,16D_30,1632,1,30600,3
16D,16D_30,5053,1,30600,3
16D,16D_30,1633,1,30600,3
16D,16D_30,1634,1,30600,3
16D,16D_30,1638,1,30600,3
16D,16D_30,1641,1,30600,3
16D,16D_30,119,1,30600,3
16D,16D_30,52,1,30600,3
16D,16D_30,1279,1,30600,3
16D,16D_30,1287,1,30600,3
16D,16D_30,1289,1,30600,3
16D,16D_30,1294,1,30600,3
16D,16D_30,1299,1,30600,3
16D,16D_30,1304,1,30600,3
16D,16D_30,1322,1,30600,3
16D,16D_30,2967,1,30600,3
16D,16D_30,5051,1,30600,3
16D,16D_30,1640,1,30600,3
16D,16D_30,213,1,30600,3
16D,16D_30,4432,1,30600,3
16D,16D_30,44,1,30600,3
16D,16D_30,45,1,30600,3
16D,16D_30,7347,1,30600,3
16D,16D_30,49,1,30600,3
16D,16D_30,4456,1,30600,3
16D,16D_30,1293,1,30600,3
16D,16D_30,1321,1,30600,3
16D,16D_30,46,1,31800,3
16D,16D_30,47,1,31800,3
16D,16D_30,48,1,31800,3
16D,16D_30,51,1,31800,3
16D,16D_30,52,1,31800,3
16D,16D_30,262,1,31800,3
16D,16D_30,336,1,31800,3
16D,16D_30,1279,1,31800,3
16D,16D_30,1282,1,31800,3
16D,16D_30,4456,1,31800,3
16D,16D_30,1285,1,31800,3
16D,16D_30,1288,1,31800,3
16D,16D_30,1289,1,31800,3
16D,16D_30,1290,1,31800,3
16D,16D_30,1293,1,31800,3
16D,16D_30,1294,1,31800,3
16D,16D_30,1295,1,31800,3
16D,16D_30,1296,1,31800,3
16D,16D_30,1298,1,31800,3
16D,16D_30,1299,1,31800,3
16D,16D_30,1301,1,31800,3
16D,16D_30,1303,1,31800,3
16D,16D_30,1304,1,31800,3
16D,16D_30,1321,1,31800,3
16D,16D_30,1322,1,31800,3
16D,16D_30,1323,1,31800,3
16D,16D_30,1324,1,31800,3
16D,16D_30,2966,1,31800,3
16D,16D_30,2967,1,31800,3
16D,16D_30,2969,1,31800,3
16D,16D_30,2971,1,31800,3
16D,16D_30,5051,1,31800,3
16D,16D_30,5052,1,31800,3
16D,16D_30,1635,1,31800,3
16D,16D_30,1637,1,31800,3
16D,16D_30,1638,1,31800,3
16D,16D_30,1639,1,31800,3
16D,16D_30,231,1,31800,3
16D,16D_30,1642,1,31800,3
16D,16D_30,213,1,31800,3
16D,16D_30,4432,1,31800,3
16D,16D_30,119,1,31800,3
16D,16D_30,44,1,31800,3
16D,16D_30,7603,1,31800,3
16D,16D_30,7347,1,31800,3
16D,16D_30,3669,1,31800,3
16D,16D_30,7349,1,31800,3
16D,16D_30,1631,1,31800,3
16D,16D_30,1632,1,31800,3
16D,16D_30,1636,1,31800,3
16D,16D_30,1640,1,31800,3
16D,16D_30,214,1,31800,3
16D,16D_30,45,1,31800,3
16D,16D_30,49,1,31800,3
16D,16D_30,270,1,31800,3
16D,16D_30,1284,1,31800,3
16D,16D_30,1292,1,31800,3
16D,16D_30,1297,1,31800,3
16D,16D_30,1302,1,31800,3
16D,16D_30,1320,1,31800,3
16D,16D_30,7068,1,31800,3
16D,16D_30,2970,1,31800,3
16D,16D_30,2975,1,31800,3
16D,16D_30,1633,1,31800,3
16D,16D_30,1641,1,31800,3
16D,16D_30,5053,1,31800,3
16D,16D_30,1634,1,31800,3
16D,16D_30,1291,1,31800,3
16D,16D_30,1300,1,31800,3
16D,16D_30,1305,1,31800,3
16D,16D_30,2968,1,31800,3
16D,16D_30,46,1,25800,3
16D,16D_30,47,1,25800,3
16D,16D_30,48,1,25800,3
16D,16D_30,49,1,25800,3
16D,16D_30,51,1,25800,3
16D,16D_30,262,1,25800,3
16D,16D_30,270,1,25800,3
16D,16D_30,336,1,25800,3
16D,16D_30,1282,1,25800,3
16D,16D_30,4456,1,25800,3
16D,16D_30,1284,1,25800,3
16D,16D_30,1285,1,25800,3
16D,16D_30,1287,1,25800,3
16D,16D_30,1290,1,25800,3
16D,16D_30,1291,1,25800,3
16D,16D_30,1292,1,25800,3
16D,16D_30,1293,1,25800,3
16D,16D_30,1294,1,25800,3
16D,16D_30,1295,1,25800,3
16D,16D_30,1297,1,25800,3
16D,16D_30,1299,1,25800,3
16D,16D_30,1300,1,25800,3
16D,16D_30,1301,1,25800,3
16D,16D_30,1302,1,25800,3
16D,16D_30,1303,1,25800,3
16D,16D_30,1304,1,25800,3
16D,16D_30,1305,1,25800,3
16D,16D_30,1320,1,25800,3
16D,16D_30,1321,1,25800,3
16D,16D_30,1322,1,25800,3
16D,16D_30,1323,1,25800,3
16D,16D_30,1324,1,25800,3
16D,16D_30,7068,1,25800,3
16D,16D_30,2967,1,25800,3
16D,16D_30,2968,1,25800,3
16D,16D_30,2969,1,25800,3
16D,16D_30,2970,1,25800,3
16D,16D_30,2971,1,25800,3
16D,16D_30,5051,1,25800,3
16D,16D_30,5052,1,25800,3
16D,16D_30,1635,1,25800,3
16D,16D_30,1636,1,25800,3
16D,16D_30,1637,1,25800,3
16D,16D_30,1638,1,25800,3
16D,16D_30,1639,1,25800,3
16D,16D_30,1640,1,25800,3
16D,16D_30,231,1,25800,3
16D,16D_30,1641,1,25800,3
16D,16D_30,1642,1,25800,3
16D,16D_30,213,1,25800,3
16D,16D_30,214,1,25800,3
16D,16D_30,4432,1,25800,3
16D,16D_30,119,1,25800,3
16D,16D_30,44,1,25800,3
16D,16D_30,45,1,25800,3
16D,16D_30,7347,1,25800,3
16D,16D_30,3669,1,25800,3
16D,16D_30,7349,1,25800,3
16D,16D_30,1631,1,25800,3
16D,16D_30,1632,1,25800,3
16D,16D_30,5053,1,25800,3
16D,16D_30,1633,1,25800,3
16D,16D_30,1634,1,25800,3
16D,16D_30,7603,1,25800,3
16D,16D_30,2975,1,25800,3
16D,16D_30,52,1,25800,3
16D,16D_30,1279,1,25800,3
16D,16D_30,1288,1,25800,3
16D,16D_30,1289,1,25800,3
16D,16D_30,1296,1,25800,3
16D,16D_30,1298,1,25800,3
16D,16D_30,2966,1,25800,3
16D,16D_30,46,1,29400,3
16D,16D_30,47,1,29400,3
16D,16D_30,49,1,29400,3
16D,16D_30,51,1,29400,3
16D,16D_30,52,1,29400,3
16D,16D_30,1634,1,29400,3
16D,16D_30,1635,1,29400,3
16D,16D_30,1639,1,29400,3
16D,16D_30,1640,1,29400,3
16D,16D_30,231,1,29400,3
16D,16D_30,1642,1,29400,3
16D,16D_30,213,1,29400,3
16D,16D_30,214,1,29400,3
16D,16D_30,4432,1,29400,3
16D,16D_30,44,1,29400,3
16D,16D_30,7603,1,29400,3
16D,16D_30,45,1,29400,3
16D,16D_30,3669,1,29400,3
16D,16D_30,7349,1,29400,3
16D,16D_30,1632,1,29400,3
16D,16D_30,1633,1,29400,3
16D,16D_30,7347,1,29400,3
16D,16D_30,5053,1,29400,3
16D,16D_30,1637,1,29400,3
16D,16D_30,1641,1,29400,3
16D,16D_30,119,1,29400,3
16D,16D_30,48,1,29400,3
16D,16D_30,262,1,29400,3
16D,16D_30,1636,1,29400,3
16D,16D_30,1638,1,29400,3
16D,16D_30,1631,1,29400,3
16D,16D_30,46,1,27000,3
16D,16D_30,47,1,27000,3
16D,16D_30,48,1,27000,3
16D,16D_30,49,1,27000,3
16D,16D_30,51,1,27000,3
16D,16D_30,52,1,27000,3
16D,16D_30,262,1,27000,3
16D,16D_30,270,1,27000,3
16D,16D_30,336,1,27000,3
16D,16D_30,1279,1,27000,3
16D,16D_30,1282,1,27000,3
16D,16D_30,4456,1,27000,3
16D,16D_30,1284,1,27000,3
16D,16D_30,1287,1,27000,3
16D,16D_30,1288,1,27000,3
16D,16D_30,1289,1,27000,3
16D,16D_30,1290,1,27000,3
16D,16D_30,1291,1,27000,3
16D,16D_30,1292,1,27000,3
16D,16D_30,1293,1,27000,3
16D,16D_30,1295,1,27000,3
16D,16D_30,1296,1,27000,3
16D,16D_30,1297,1,27000,3
16D,16D_30,1298,1,27000,3
16D,16D_30,1299,1,27000,3
16D,16D_30,1300,1,27000,3
16D,16D_30,1301,1,27000,3
16D,16D_30,1302,1,27000,3
16D,16D_30,1303,1,27000,3
16D,16D_30,1304,1,27000,3
16D,16D_30,1305,1,27000,3
